IDENT;Age;DEPT_LOG;SO_LOG
110;18;99;Autre
110;19;99;Autre
110;20;99;Autre
110;21;99;Autre
110;22;99;Autre
110;23;99;Autre
110;24;99;Locataire privé
110;25;99;Locataire privé
110;26;99;Locataire privé
110;27;99;Locataire privé
110;28;99;Locataire privé
110;29;99;Locataire privé
110;30;99;Locataire privé
110;31;99;Locataire privé
110;32;99;Locataire privé
110;33;99;Locataire privé
110;34;99;Locataire privé
110;35;99;Locataire privé
110;36;99;Locataire privé
110;37;75;Locataire privé
110;38;94;Locataire privé
110;39;94;Locataire privé
110;40;94;Locataire privé
110;41;94;Locataire privé
110;42;94;Locataire privé
110;43;77;HLM
110;44;77;HLM
110;45;77;HLM
110;46;77;HLM
110;47;77;HLM
110;48;77;HLM
110;49;77;HLM
110;50;77;HLM
110;51;77;HLM
110;52;77;HLM
110;53;93;HLM
110;54;93;HLM
110;55;93;HLM
110;56;93;HLM
110;57;93;HLM
110;58;93;HLM
110;59;93;HLM
111;0;77;Parents
